employee,Education,from_date,datetoday
employee,Education,to_date,datetoday
employee,Education,institute,randomstring
employee,Education,overall_marks,uniqueint
employee,Education,nature_of_education,randomstring
employee,Education,specialization,randomstring
employee,EmpAddress,address_type,randomstring
employee,EmpAddress,address1,randomstring
employee,EmpAddress,address2,randomstring
employee,EmpAddress,city,randomstring
employee,EmpAddress,state,randomstring
employee,EmpAddress,zipcode,uniqueint
employee,Employee,date_of_birthO,datetoday
employee,Employee,marital_status,randomstring
employee,Employee,mobile_phone,randomstring
employee,Employee,land_phone,randomstring
employee,Employee,emergency_phone,randomstring
employee,Employee,personal_email,randomemail
employee,Employee,exprience ,uniqueint
employee,Employee,passport_number,randomstring
employee,Employee,PAN,randomstring
employee,Employee,PF_number,randomstring
employee,Employee,bank_name,randomstring
employee,Employee,bank_account,uniqueint
employee,Employee,group_insurance_number,randomstring
employee,Employee,esi_number,randomstring
employee,Employee,date_of_birthR,datetoday
employee,Employee,uan,uniqueint
employee,Employee,wedding_date,datetoday
employee,Familymember,dob,datetoday
employee,Familymember,rela_type,randomstring
employee,PreviousEmployment,company_name,randomstring
employee,PreviousEmployment,pf_number,randomstring
employee,PreviousEmployment,last_ctc,uniqueint
employee,PreviousEmployment,reason_for_exit,randomstring
fb360,QualitativeResponse,general_fb,randomstring
fb360,Respondent,respondent_type,randomstring
fb360,Response,ans,randomstring
Grievances,Grievances,subject,randomstring
Grievances,Grievances,grievance,randomstring
Grievances,Grievances,action_taken,randomstring
Grievances,Grievances,user_closure_message,randomstring
Grievances,Grievances,admin_closure_message,randomstring
Grievances,Grievances,satisfaction_level,randomstring
